	csts	ocnli	cmnli	csnli	lcqmc	pawsx	xiaobu	afqmc	bqcorpus
afqmc	0.6221855881195828	0.13694447253665817	0.32261458203990095	0.3025091561567772	0.6191053579597885	0.08551762225469185	0.4518703595802023	0.4489958043606674	0.6044372028073492
bqcorpus	0.6151703479587961	0.1325405945393616	0.3027012685622622	0.2815187958841566	0.5843282826747267	0.07513163213798182	0.4293778068984627	0.346191297135523	0.7405936828384043
csts	0.7613853599025895	0.13148787339189813	0.27553928488056034	0.37390456325101445	0.5703573590869129	0.06012089082444175	0.42455952649868284	0.15864860328340902	0.395335333376934
lcqmc	0.7401740724966581	0.16192790828508422	0.31352312927688164	0.357272340423359	0.7888970465988423	0.09437136788364968	0.5118485415236156	0.3185718187389846	0.517689100444256
ocnli	0.7068531235347107	0.4027378860422024	0.44571521131208686	0.3886586511319147	0.6138102034472261	0.09758732997531443	0.4556988367179086	0.1734266657543308	0.396081777994333
pawsx	0.4065939376700816	0.03233185176059479	0.15377438546582148	0.13451156355078686	0.3709444258237523	0.5444913512386013	0.3346065663594771	0.16951859229320082	0.34847771231038616
xiaobu	0.6647331120103318	0.12784609614212464	0.2556595255827272	0.3019484632860693	0.6916247896856218	0.09762147702551896	0.680805947539562	0.25867429514933427	0.4222945657628928
cmnli	0.6808800464423929	0.36591525682774695	0.5971744409945133	0.29955146784536024	0.6052328463683416	0.10281534761806015	0.47200503440267216	0.2371427986686633	0.4786710185058205
csnli	0.7138986334574458	0.2342840892467901	0.4518936098521341	0.4863015527596155	0.5983052424178357	0.1089241870257606	0.4415088947956519	0.17335931638009083	0.4334914082722761
pkuparaph	0.6746599095255487	0.09252785060175668	0.2512004193097983	0.33017632312672557	0.48389539613512944	0.054582046357021394	0.34134196668810207	0.17086537885174732	0.4488474936758153
qbqtc	0.45125696356239803	0.05015424634089472	0.17806714493310594	0.1385770488291812	0.3036171759415151	0.06547148812769907	0.22838281379352796	0.16762235538229117	0.35711143138387
bert-mean	0.5517481680429229	0.019440925711255365	0.1976207896479395	0.14345614540482635	0.5218249186570683	0.04646937610241186	0.3594829850904436	0.1693899248006411	0.3405538916023176
